序号	class	pdate	sequence	amount	forecast
 454	1	147	20150518	3.36423362499E7	
 455	1	154	20150525	3.46157498099E7	
 456	1	155	20150526	4.183471848E7	
 457	1	158	20150529	4.24194380099E7	
 458	1	162	20150602	2.0963462014E8	
 459	1	164	20150604	1.4405416881E8	
 460	1	168	20150608	2.2616822113E8	
 461	1	170	20150610	1.1943314205199E9	
 462	1	174	20150614	3.29970833199E7	
 463	1	175	20150615	4.964024581E7	
 464	1	176	20150616	4.084376439E7	
 465	1	179	20150619	3.590411728E7	
 466	1	180	20150620	2.85827251599E7	
 467	1	181	20150621	2.81191639199E7	
 468	1	184	20150624	4.094165427E7	
 469	1	185	20150625	4.572034517E7	
 470	1	186	20150626	4.42512575599E7	
 471	1	187	20150627	3.815806828E7	
 472	1	189	20150629	5.52130120599E7	
 473	1	190	20150630	6.709446252E7	
 474	1	191	20150701	4.3266373615E8	
 475	1	192	20150702	2.2951884579E8	
 476	1	195	20150705	1.4129344909E8	
 477	1	198	20150708	2.7251960599E8	
 478	1	209	20150719	3.64702383799E7	
 479	1	210	20150720	5.41708444499E7	
 480	1	212	20150722	5.10643986299E7	
 481	1	215	20150725	4.33344066299E7	
 482	1	216	20150726	4.23382560899E7	
 483	1	217	20150727	6.00202212599E7	
 484	1	220	20150730	7.137172465E7	
 485	1	226	20150805	2.227991275E8	
 486	1	227	20150806	2.3761332337E8	
 487	1	230	20150809	5.5298354674E8	
 488	1	231	20150810	1.8492627463399E9	
 489	1	234	20150813	7.062832318E7	
 490	1	237	20150816	5.34737996599E7	
 491	1	238	20150817	7.19767925999E7	
 492	1	239	20150818	6.50873110699E7	
 493	1	241	20150820	6.41590640199E7	
 494	1	242	20150821	6.62502108899E7	
 495	1	246	20150825	7.68643700799E7	
 496	1	254	20150902	3.1235726655E8	
 497	1	256	20150904	2.2151781527E8	
 498	1	258	20150906	3.074634944899E8	
 499	1	261	20150909	7.890256147199E8	
 500	1	267	20150915	1.165935152099E8	
 501	1	273	20150921	9.50036329199E7	
 502	1	274	20150922	8.88648786999E7	
 503	1	275	20150923	8.73055375799E7	
 504	1	282	20150930	1.6600239675E8	
 505	1	288	20151006	3.1575537369E8	
 506	1	291	20151009	1.0944025863699E9	
 507	1	293	20151011	1.828061100399E8	
 508	1	301	20151019	1.1419910751E8	
 509	1	304	20151022	1.131360399E8	
 510	1	305	20151023	1.180142674599E8	
 511	1	308	20151026	1.388627611699E8	
 512	1	309	20151027	1.3824021487E8	
 513	1	310	20151028	1.4432930169E8	
 514	1	315	20151102	6.1216557143E8	
 515	1	318	20151105	4.415018576E8	
 516	1	324	20151111	2.8234162718E8	
 517	1	331	20151118	2.068150997499E8	
 518	1	332	20151119	2.0485826212E8	
 519	1	333	20151120	2.2370167452E8	
 520	1	336	20151123	2.2076625626E8	
 521	1	337	20151124	2.1346914732E8	
 522	1	341	20151128	2.342508668799E8	
 523	1	342	20151129	2.4817872821E8	
 524	1	345	20151202	1.1734741543899E9	
 525	1	349	20151206	6.167941956299E8	
 526	1	358	20151215	2.3185819682E8	
 527	1	359	20151216	1.786287817499E8	
 528	1	363	20151220	1.322873987399E8	
 529	1	364	20151221	1.7632166343E8	
 530	1	365	20151222	1.6160484774E8	
 531	1	367	20151224	1.567930487799E8	
 532	1	368	20151225	1.783495067099E8	
 533	1	371	20151228	2.084313275399E8	
 534	1	377	20160103	5.343893652799E8	
 535	1	378	20160104	6.440871343299E8	
 536	1	383	20160109	1.7734190812699E9	
 537	1	384	20160110	3.82820401674E9	
 538	1	385	20160111	3.688139814E8	
 539	1	388	20160114	1.727719409699E8	
 540	1	392	20160118	1.690275074799E8	
 541	1	399	20160125	2.0565539569E8	
 542	1	403	20160129	2.9551049125E8	
 543	1	404	20160130	2.474429342E8	
 544	1	409	20160204	7.778532141999E8	
 545	1	415	20160210	3.88830551841E9	
 546	1	416	20160211	2.304881000199E8	
 547	1	421	20160216	1.4103413955E8	
 548	1	427	20160222	1.468139436999E8	
 549	1	429	20160224	1.555359675199E8	
 550	1	432	20160227	1.626258599199E8	
 551	1	434	20160229	2.7226950476E8	
 552	1	435	20160301	8.341546527099E8	
 553	1	437	20160303	5.4504904328E8	
 554	1	438	20160304	4.7227010962E8	
 555	1	441	20160307	6.534313864599E8	
 556	1	448	20160314	1.923173438399E8	
 557	1	453	20160319	1.453793384299E8	
 558	1	454	20160320	1.516206094599E8	
 559	1	455	20160321	1.981527301299E8	
 560	1	456	20160322	1.857127262199E8	
 561	1	460	20160326	1.810727759399E8	
 562	1	465	20160331	3.3278946606E8	
 563	1	466	20160401	1.2779985953099E9	
 564	1	469	20160404	5.5450415463E8	
 565	1	472	20160407	8.973258434799E8	
 566	1	473	20160408	1.0670715468399E9	
 567	1	474	20160409	2.1434063094899E9	
 568	1	476	20160411	3.9216810033E8	
 569	1	478	20160413	2.0435851825E8	
 570	1	479	20160414	1.874455731899E8	
 571	1	490	20160425	2.5481511771E8	
 572	1	491	20160426	2.5961725035E8	
 573	1	495	20160430	3.2998218498E8	
 574	1	496	20160501	1.1987729467099E9	
 575	1	497	20160502	1.1853942113599E9	
 576	1	504	20160509	2.57156728695E9	
 577	1	514	20160519	1.995660629799E8	
 578	1	517	20160522	1.876574085799E8	
 579	1	520	20160525	2.6069902004E8	
 580	1	523	20160528	2.4144464171E8	
 581	1	529	20160603	8.413466039899E8	
 582	1	532	20160606	9.483402593999E8	
 583	1	533	20160607	9.645386618199E8	
 584	1	535	20160609	2.53041549519E9	
 585	1	536	20160610	4.15141919621E9	
 586	1	551	20160625	2.3589764076E8	
 587	1	553	20160627	3.0326538191E8	
 588	1	554	20160628	3.2896401742E8	
 589	1	555	20160629	3.4772078263E8	
 590	1	562	20160706	1.0072728538499E9	
 591	1	566	20160710	4.40673719483E9	
 592	1	567	20160711	4.6382061257E8	
 593	1	571	20160715	3.2246335527E8	
 594	1	572	20160716	2.2022235327E8	
 595	1	574	20160718	2.397410457099E8	
 596	1	580	20160724	2.032916176599E8	
 597	1	583	20160727	2.834049099899E8	
 598	1	591	20160804	7.884500537199E8	
 599	1	595	20160808	1.34228095911E9	
 600	1	598	20160811	4.1376654043E8	
 601	1	601	20160814	1.917269393999E8	
 602	1	603	20160816	2.7794206482E8	
 603	1	604	20160817	2.3516966134E8	
 604	1	609	20160822	2.638667523899E8	
 605	1	610	20160823	2.552013304399E8	
 606	1	613	20160826	3.1428882075E8	
 607	1	615	20160828	2.8149356045E8	
 608	1	616	20160829	3.6294926753E8	
 609	1	618	20160831	4.3924350774E8	
 610	1	621	20160903	8.157751501199E8	
 611	1	623	20160905	9.620181146899E8	
 612	1	636	20160918	2.8325395698E8	
 613	1	638	20160920	3.1267414257E8	
 614	1	643	20160925	2.696728432E8	
 615	1	645	20160927	3.7196656414E8	
 616	1	647	20160929	4.7206927032E8	
 617	1	648	20160930	6.2856910431E8	
 618	1	649	20161001	1.918076012E9	
 619	1	654	20161006	1.0647893662599E9	
 620	1	657	20161009	4.0500286221001E9	
 621	1	658	20161010	4.9390619113401E9	
 622	1	663	20161015	2.9247144499E8	
 623	1	676	20161028	4.4691598407E8	
 624	1	677	20161029	4.0007187746E8	
 625	1	681	20161102	2.01298498565E9	
 626	1	682	20161103	1.2131633960699E9	
 627	1	689	20161110	5.3364495420401E9	
 628	1	693	20161114	4.0335795545E8	
 629	1	695	20161116	5.040859939E8	
 630	1	696	20161117	4.661556802E8	
 631	1	701	20161122	5.4273399058E8	
 632	1	703	20161124	5.2045989859E8	
 633	1	706	20161127	5.5895915989E8	
 634	1	708	20161129	7.985134464399E8	
 635	1	709	20161130	9.978642845199E8	
 636	1	711	20161202	2.82155533997E9	
 637	1	716	20161207	2.11830935608E9	
 638	1	718	20161209	6.8824664797601E9	
 639	1	719	20161210	7.36173782417E9	
 640	1	720	20161211	6.2930845447E8	
 641	1	724	20161215	5.9231395018E8	
 642	1	725	20161216	4.9642703966E8	
 643	1	730	20161221	5.0584354661E8	
 644	1	732	20161223	5.1509031974E8	
 645	1	734	20161225	4.9100002911E8	
 646	1	739	20161230	8.195461579999E8	
 647	1	744	20170104	1.6782783885E9	
